Status: HighsModelStatus.kTimeLimit
Objective: 80.00000000000084
Duration: 2400.04s

I_2_3_2_1_0 1.0
I_2_3_2_1_1 1.0
I_2_3_2_2_0 1.0
I_2_3_2_2_1 1.0
I_2_4_0_0_0 1.0
I_2_4_0_0_1 1.0
I_2_4_0_2_0 1.0
I_2_4_0_2_1 1.0
I_2_4_1_1_0 1.0
I_2_4_1_1_1 1.0
I_2_4_1_2_1 1.0
I_2_4_2_0_0 0.9999999999999997
I_2_4_2_0_1 1.0
I_2_4_2_2_0 1.0
I_2_4_2_2_1 1.0
I_2_4_2_2_2 1.0
I_2_5_0_0_0 1.0
I_2_5_0_0_1 1.0
I_2_5_0_0_2 1.0
I_2_5_0_0_3 1.0
I_2_5_0_1_0 1.0
I_2_5_0_1_1 1.0
I_2_5_0_1_2 1.0
I_2_5_0_1_3 1.0
I_2_5_0_2_0 1.0
I_2_5_0_2_1 1.0
I_2_5_0_2_2 1.0
I_2_5_1_1_0 1.0
I_2_5_1_1_1 1.0
I_2_5_1_2_0 1.0
I_2_5_1_2_1 1.0
I_2_5_2_0_0 1.0
I_2_5_2_0_1 1.0
I_2_5_2_0_2 1.0
I_2_5_2_1_0 1.0
I_2_5_2_1_1 1.0
I_2_5_2_2_0 1.0
I_2_5_2_2_1 1.0
I_3_0_0_0_0 1.0
I_3_0_0_0_1 1.0
I_3_0_0_0_2 1.0
I_3_0_0_0_3 1.0
I_3_0_0_1_0 1.0
I_3_0_0_1_1 1.0
I_3_0_0_1_2 1.0
I_3_0_0_1_3 1.0
I_3_0_0_2_0 1.0
I_3_0_0_2_1 1.0
I_3_0_0_2_3 1.0
I_3_0_1_0_0 1.0
I_3_0_1_0_1 1.0
I_3_0_2_0_0 1.0
I_3_0_2_0_1 1.0
I_3_1_0_1_1 1.0
I_3_1_0_1_2 1.0
I_3_1_0_1_3 1.0
I_3_1_0_2_1 1.0
I_3_1_0_2_2 1.0
I_3_1_0_2_3 1.0
I_3_1_1_0_1 1.0
I_3_1_1_0_2 1.0
I_3_1_1_1_2 1.0
I_3_1_1_1_3 1.0
I_3_1_1_2_2 1.0
I_3_1_1_2_3 1.0
I_3_1_2_0_1 1.0
I_3_1_2_0_2 1.0
I_3_2_0_0_0 1.0
I_3_2_0_0_1 1.0
