Status: HighsModelStatus.kOptimal
Objective: 180.0
Duration: 24.59s

I_4_0_1_1_0 0.0
I_4_0_1_1_1 1.0
I_4_0_1_1_2 0.0
I_4_0_1_1_3 1.0
I_4_0_1_2_0 0.0
I_4_0_1_2_1 0.0
I_4_0_1_2_2 0.0
I_4_0_1_2_3 1.0
I_4_0_2_0_0 0.0
I_4_0_2_0_1 0.0
I_4_0_2_0_2 0.0
I_4_0_2_0_3 0.0
I_4_0_2_1_0 0.0
I_4_0_2_1_1 0.0
I_4_0_2_1_2 0.0
I_4_0_2_1_3 1.0
I_4_0_2_2_0 0.0
I_4_0_2_2_1 1.0
I_4_0_2_2_2 0.0
I_4_0_2_2_3 0.0
I_4_1_0_0_0 0.0
I_4_1_0_0_1 0.0
I_4_1_0_0_2 0.0
I_4_1_0_0_3 0.0
I_4_1_0_1_0 0.0
I_4_1_0_1_1 0.0
I_4_1_0_1_2 0.0
I_4_1_0_1_3 1.0
I_4_1_0_2_0 0.0
I_4_1_0_2_1 0.0
I_4_1_0_2_2 0.0
I_4_1_0_2_3 1.0
I_4_1_1_0_0 0.0
I_4_1_1_0_1 0.0
I_4_1_1_0_2 0.0
I_4_1_1_0_3 0.0
I_4_1_1_1_0 0.0
I_4_1_1_1_1 0.0
I_4_1_1_1_2 0.0
I_4_1_1_1_3 1.0
I_4_1_1_2_0 0.0
I_4_1_1_2_1 0.0
I_4_1_1_2_2 0.0
I_4_1_1_2_3 1.0
I_4_1_2_0_0 0.0
I_4_1_2_0_1 1.0
I_4_1_2_0_2 0.0
I_4_1_2_0_3 1.0
I_4_1_2_1_0 0.0
I_4_1_2_1_1 1.0
I_4_1_2_1_2 0.0
I_4_1_2_1_3 0.0
I_4_1_2_2_0 0.0
I_4_1_2_2_1 1.0
I_4_1_2_2_2 0.0
I_4_1_2_2_3 0.0
I_4_2_0_0_0 0.0
I_4_2_0_0_1 1.0
I_4_2_0_0_2 0.0
I_4_2_0_0_3 1.0
I_4_2_0_1_0 0.0
I_4_2_0_1_1 0.0
I_4_2_0_1_2 0.0
I_4_2_0_1_3 0.0
I_4_2_0_2_0 0.0
I_4_2_0_2_1 0.0
I_4_2_0_2_2 0.0
I_4_2_0_2_3 1.0
I_4_2_1_0_0 0.0
I_4_2_1_0_1 1.0
I_4_2_1_0_2 0.0
I_4_2_1_0_3 1.0
I_4_2_1_1_0 0.0
I_4_2_1_1_1 0.0
I_4_2_1_1_2 0.0
I_4_2_1_1_3 0.0
I_4_2_1_2_0 0.0
I_4_2_1_2_1 0.0
I_4_2_1_2_2 0.0
I_4_2_1_2_3 1.0
I_4_2_2_0_0 0.0
I_4_2_2_0_1 0.0
I_4_2_2_0_2 0.0
I_4_2_2_0_3 0.0
I_4_2_2_1_0 0.0
I_4_2_2_1_1 1.0
I_4_2_2_1_2 0.0
I_4_2_2_1_3 1.0
I_4_2_2_2_0 0.0
I_4_2_2_2_1 1.0
I_4_2_2_2_2 0.0
I_4_2_2_2_3 0.0
I_4_3_0_0_0 0.0
I_4_3_0_0_1 0.0
I_4_3_0_0_2 0.0
I_4_3_0_0_3 0.0
I_4_3_0_1_0 0.0
I_4_3_0_1_1 0.0
I_4_3_0_1_2 0.0
I_4_3_0_1_3 1.0
I_4_3_0_2_0 0.0
I_4_3_0_2_1 0.0
I_4_3_0_2_2 0.0
I_4_3_0_2_3 1.0
I_4_3_1_0_0 0.0
I_4_3_1_0_1 0.0
I_4_3_1_0_2 0.0
I_4_3_1_0_3 0.0
I_4_3_1_1_0 0.0
I_4_3_1_1_1 0.0
I_4_3_1_1_2 0.0
I_4_3_1_1_3 1.0
I_4_3_1_2_0 0.0
I_4_3_1_2_1 0.0
I_4_3_1_2_2 0.0
I_4_3_1_2_3 1.0
I_4_3_2_0_0 0.0
I_4_3_2_0_1 1.0
I_4_3_2_0_2 0.0
I_4_3_2_0_3 1.0
